,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.07777914504368112
1,01,premotor,153,207,0.07489116546887757
2,01,premotor,153,45,0.10185494526690261
3,01,premotor,153,99,0.05317402624997787
4,01,premotor,207,153,0.08963241685830695
5,01,premotor,207,207,0.06175092756302501
6,01,premotor,207,45,0.05248604068045777
7,01,premotor,207,99,0.05808521597256358
8,01,premotor,45,153,0.08678646564077698
9,01,premotor,45,207,0.08706920625870876
10,01,premotor,45,45,0.07205287755565244
11,01,premotor,45,99,0.06746186144991291
12,01,premotor,99,153,0.07933336849050732
13,01,premotor,99,207,0.08572170157037687
14,01,premotor,99,45,0.08321136603695165
15,01,premotor,99,99,0.0594085641736123
16,01,motor,153,153,0.015054913549601028
17,01,motor,153,207,0.03772789758444327
18,01,motor,153,45,0.029966778615014664
19,01,motor,153,99,0.03555513269140945
20,01,motor,207,153,0.07500272168149505
21,01,motor,207,207,0.06920935637968063
22,01,motor,207,45,0.08190842379604704
23,01,motor,207,99,0.024228389871781296
24,01,motor,45,153,0.04735327716090955
25,01,motor,45,207,0.13459203167583628
26,01,motor,45,45,0.030822757752855458
27,01,motor,45,99,0.012064462818611024
28,01,motor,99,153,0.05641369006155159
29,01,motor,99,207,0.042615135462154605
30,01,motor,99,45,0.024999693489514932
31,01,motor,99,99,0.023392890409646972
32,01,v1,153,153,0.1208845183240331
33,01,v1,153,207,0.15676969238816033
34,01,v1,153,45,0.13408310520960648
35,01,v1,153,99,0.15055482347503252
36,01,v1,207,153,0.08143627800745584
37,01,v1,207,207,0.09246721691076223
38,01,v1,207,45,0.0872067297032764
39,01,v1,207,99,0.10400464676550665
40,01,v1,45,153,0.12303368119088108
41,01,v1,45,207,0.12820507152320848
42,01,v1,45,45,0.1343815190421105
43,01,v1,45,99,0.11388068015133868
44,01,v1,99,153,0.08312528853611269
45,01,v1,99,207,0.1425135174805785
46,01,v1,99,45,0.11798341043078846
47,01,v1,99,99,0.15113225060373905
48,01,sup_parietal,153,153,0.1625419172025809
49,01,sup_parietal,153,207,0.16017589633607557
50,01,sup_parietal,153,45,0.1906628318764382
51,01,sup_parietal,153,99,0.1748917599227274
