,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.04186937327911698
1,01,premotor,153,207,-0.010671381595067246
2,01,premotor,153,45,-0.03476121209270121
3,01,premotor,153,99,0.004934202112101013
4,01,premotor,207,153,0.008474942108258597
5,01,premotor,207,207,-0.019047638147668005
6,01,premotor,207,45,0.02375787489425638
7,01,premotor,207,99,-0.015535422118064558
8,01,premotor,45,153,-0.04430956314841787
9,01,premotor,45,207,0.078703578432013
10,01,premotor,45,45,-0.006978186021191778
11,01,premotor,45,99,-0.03363005777238579
12,01,premotor,99,153,-0.005654112181375272
13,01,premotor,99,207,-0.05448688540136062
14,01,premotor,99,45,0.01751844765730113
15,01,premotor,99,99,0.0490434754023978
16,01,motor,153,153,0.02476140853310476
17,01,motor,153,207,-0.10588854999657797
18,01,motor,153,45,0.031133515217332385
19,01,motor,153,99,0.05426035001620339
20,01,motor,207,153,-0.012851067664279708
21,01,motor,207,207,0.08312425252499535
22,01,motor,207,45,-0.04938202932821862
23,01,motor,207,99,-0.044116359448881995
24,01,motor,45,153,0.07130144659258666
25,01,motor,45,207,-0.0356099189921398
26,01,motor,45,45,0.030577092430674767
27,01,motor,45,99,-0.047292613258189745
28,01,motor,99,153,-0.09424584156505886
29,01,motor,99,207,0.07233127477633326
30,01,motor,99,45,-0.00928571461366068
31,01,motor,99,99,0.033404381242234216
32,01,v1,153,153,0.04135562377136039
33,01,v1,153,207,-0.02560082106591783
34,01,v1,153,45,-0.002894435741874306
35,01,v1,153,99,-0.004673298371171147
36,01,v1,207,153,0.00786353956647149
37,01,v1,207,207,-0.031031946981567506
38,01,v1,207,45,-0.0007244405689062613
39,01,v1,207,99,0.027633358986023447
40,01,v1,45,153,0.0040579306034447616
41,01,v1,45,207,0.016016393991381207
42,01,v1,45,45,-0.016197987986217285
43,01,v1,45,99,-0.0055040800397732174
44,01,v1,99,153,-0.06669347733872868
45,01,v1,99,207,0.03414737457957011
46,01,v1,99,45,0.018182911530755325
47,01,v1,99,99,0.0027837165319443526
48,01,sup_parietal,153,153,-0.12819168304440898
49,01,sup_parietal,153,207,-0.006718006514283033
50,01,sup_parietal,153,45,0.10873515688095106
51,01,sup_parietal,153,99,0.0351123241411752
52,01,sup_parietal,207,153,0.03771611175275559
53,01,sup_parietal,207,207,-0.010478190905810494
54,01,sup_parietal,207,45,-0.056066042179710424
55,01,sup_parietal,207,99,0.05277667366455042
56,01,sup_parietal,45,153,0.09574935563460346
57,01,sup_parietal,45,207,0.07231424861825936
58,01,sup_parietal,45,45,-0.08620383939241408
59,01,sup_parietal,45,99,-0.08609876162078592
60,01,sup_parietal,99,153,-0.007903828888784872
61,01,sup_parietal,99,207,-0.037292899625230774
62,01,sup_parietal,99,45,0.02980294667276965
63,01,sup_parietal,99,99,-0.01106792249550763
64,01,inf_parietal,153,153,-0.08080000894609311
65,01,inf_parietal,153,207,0.04503134264716867
66,01,inf_parietal,153,45,0.018928482538004453
67,01,inf_parietal,153,99,0.00933510912172633
68,01,inf_parietal,207,153,0.007679800664542228
69,01,inf_parietal,207,207,-0.00930892536568943
70,01,inf_parietal,207,45,-0.01761197622853764
71,01,inf_parietal,207,99,0.021837544434652793
72,01,inf_parietal,45,153,0.006946913089574406
73,01,inf_parietal,45,207,-0.02615207328813773
74,01,inf_parietal,45,45,0.04340467546585994
75,01,inf_parietal,45,99,-0.02075575468006616
76,01,inf_parietal,99,153,0.054701699495049355
77,01,inf_parietal,99,207,-0.028465713903592278
78,01,inf_parietal,99,45,-0.026783494646856025
79,01,inf_parietal,99,99,0.003623757479723105
80,01,v5,153,153,-0.0783642550613154
81,01,v5,153,207,0.03982791794481802
82,01,v5,153,45,0.015800534215407266
83,01,v5,153,99,-0.014672674791087609
84,01,v5,207,153,0.0574994710779695
85,01,v5,207,207,-0.0619804207014332
86,01,v5,207,45,0.04776014687897781
87,01,v5,207,99,-0.07088390779273229
88,01,v5,45,153,0.0750857893748104
89,01,v5,45,207,0.03843275604545401
90,01,v5,45,45,-0.07371940530189387
91,01,v5,45,99,-0.03183134140196271
92,01,v5,99,153,-0.14724645931404112
93,01,v5,99,207,0.09014537099523091
94,01,v5,99,45,0.0867344474477792
95,01,v5,99,99,0.0010294153187941392
96,02,premotor,153,153,-0.04207125135903561
97,02,premotor,153,207,0.055768239859105645
98,02,premotor,153,45,0.0017566759563376541
99,02,premotor,153,99,-0.00790608195801158
100,02,premotor,207,153,-0.02808113378985916
101,02,premotor,207,207,0.012875044496930218
102,02,premotor,207,45,0.019941032924556144
103,02,premotor,207,99,0.01643147169385313
104,02,premotor,45,153,0.05306804788791105
105,02,premotor,45,207,-0.061773413445365716
106,02,premotor,45,45,-0.008813559723267778
107,02,premotor,45,99,0.007509178897688221
108,02,premotor,99,153,0.020315434159509493
109,02,premotor,99,207,-0.010706237525332226
110,02,premotor,99,45,-0.013752216456646565
111,02,premotor,99,99,-0.015934088349681047
112,02,motor,153,153,-0.038564668095361535
113,02,motor,153,207,0.05373211072927939
114,02,motor,153,45,-0.03426995834768781
115,02,motor,153,99,0.0008507858057652789
116,02,motor,207,153,-0.035303220384438755
117,02,motor,207,207,-0.01646530183126624
118,02,motor,207,45,0.06680646165240972
119,02,motor,207,99,-0.006578366411730138
120,02,motor,45,153,0.009844757756715623
121,02,motor,45,207,-0.03427622654822257
122,02,motor,45,45,-0.016373224875130744
123,02,motor,45,99,0.04939617962853285
124,02,motor,99,153,0.055783128967337295
125,02,motor,99,207,-0.0040722599101527
126,02,motor,99,45,-0.0025099834138966985
127,02,motor,99,99,-0.04479003956644925
128,02,v1,153,153,0.34209050629966664
129,02,v1,153,207,-0.1398847017108779
130,02,v1,153,45,-0.03150705838329782
131,02,v1,153,99,-0.19212275309723975
132,02,v1,207,153,-0.2135212642582205
133,02,v1,207,207,0.40751841096461994
134,02,v1,207,45,-0.09784047776530463
135,02,v1,207,99,-0.10416145394430346
136,02,v1,45,153,-0.10415300082975074
137,02,v1,45,207,-0.1504451970301467
138,02,v1,45,45,0.29956463315571014
139,02,v1,45,99,-0.0073998878548999746
140,02,v1,99,153,-0.03626211221522329
141,02,v1,99,207,-0.08919939711369376
142,02,v1,99,45,-0.16120278901869406
143,02,v1,99,99,0.29306674964042345
144,02,sup_parietal,153,153,0.019427742462326883
145,02,sup_parietal,153,207,0.07967084262310573
146,02,sup_parietal,153,45,-0.06180079727826432
147,02,sup_parietal,153,99,-0.017467395714988995
148,02,sup_parietal,207,153,0.006120091260071025
149,02,sup_parietal,207,207,0.11829517333242362
150,02,sup_parietal,207,45,-0.02715727119882365
151,02,sup_parietal,207,99,-0.09424221767555888
152,02,sup_parietal,45,153,-0.004813598173568022
153,02,sup_parietal,45,207,-0.17810160296015035
154,02,sup_parietal,45,45,0.06894717018318258
155,02,sup_parietal,45,99,0.09569690176631535
156,02,sup_parietal,99,153,-0.0019288665681891082
157,02,sup_parietal,99,207,-0.02061724639935139
158,02,sup_parietal,99,45,-0.032196792834086996
159,02,sup_parietal,99,99,0.03683498772233891
160,02,inf_parietal,153,153,-0.04864307404712982
161,02,inf_parietal,153,207,0.01904845408764859
162,02,inf_parietal,153,45,0.05697930128002711
163,02,inf_parietal,153,99,-0.024384268127027434
164,02,inf_parietal,207,153,-0.023122864802936696
165,02,inf_parietal,207,207,0.024957647918942602
166,02,inf_parietal,207,45,-0.0029772992416641133
167,02,inf_parietal,207,99,0.016917468127366553
168,02,inf_parietal,45,153,0.05894697978372755
169,02,inf_parietal,45,207,-0.0005161253293364757
170,02,inf_parietal,45,45,-0.015181406114443961
171,02,inf_parietal,45,99,-0.032371474532513975
172,02,inf_parietal,99,153,0.0004757956797443487
173,02,inf_parietal,99,207,-0.0190836400632524
174,02,inf_parietal,99,45,-0.04413368912840554
175,02,inf_parietal,99,99,0.052081097078204235
176,02,v5,153,153,0.37457665552386193
177,02,v5,153,207,0.003779959383304013
178,02,v5,153,45,-0.2891237648044632
179,02,v5,153,99,-0.049950015024740155
180,02,v5,207,153,-0.16372289012241828
181,02,v5,207,207,0.3955682639734657
182,02,v5,207,45,-0.168283595292948
183,02,v5,207,99,-0.11711564435621227
184,02,v5,45,153,-0.21657740839417716
185,02,v5,45,207,-0.1372547308686431
186,02,v5,45,45,0.5346053053874265
187,02,v5,45,99,-0.14572575659974973
188,02,v5,99,153,0.0067946888244652046
189,02,v5,99,207,-0.21969862953961078
190,02,v5,99,45,-0.07480705074254819
191,02,v5,99,99,0.257867255117641
192,03,premotor,153,153,-0.004605856860192627
193,03,premotor,153,207,0.04754578476837047
194,03,premotor,153,45,-0.011513096216145397
195,03,premotor,153,99,-0.039730042331562014
196,03,premotor,207,153,-0.03921883613487079
197,03,premotor,207,207,0.020683668438537653
198,03,premotor,207,45,0.03159780573775164
199,03,premotor,207,99,-0.004706975907970437
200,03,premotor,45,153,0.0630328841427684
201,03,premotor,45,207,-0.1339412142822154
202,03,premotor,45,45,0.03172367651423037
203,03,premotor,45,99,0.05196715548854351
204,03,premotor,99,153,-0.01903338635319384
205,03,premotor,99,207,0.06080607559743822
206,03,premotor,99,45,-0.045743458917978395
207,03,premotor,99,99,-0.007209083918020372
208,03,motor,153,153,-0.01620183786305979
209,03,motor,153,207,0.05029124249659439
210,03,motor,153,45,-0.016764137897481116
211,03,motor,153,99,-0.030352339180974193
212,03,motor,207,153,0.002444444768452878
213,03,motor,207,207,0.07842999637966383
214,03,motor,207,45,0.0387050222864899
215,03,motor,207,99,-0.08990695306806207
216,03,motor,45,153,0.016086030619074362
217,03,motor,45,207,-0.16022816394945932
218,03,motor,45,45,0.00970439691600227
219,03,motor,45,99,0.13701125114352422
220,03,motor,99,153,-0.003483374495229785
221,03,motor,99,207,0.017041617551953048
222,03,motor,99,45,-0.027459491455581905
223,03,motor,99,99,-0.014425676905220999
224,03,v1,153,153,0.13128226211436794
225,03,v1,153,207,0.11604775296056316
226,03,v1,153,45,-0.06865326299128917
227,03,v1,153,99,-0.17615702877788236
228,03,v1,207,153,-0.09831513154507597
229,03,v1,207,207,0.25116793579516583
230,03,v1,207,45,-0.06687998630955994
231,03,v1,207,99,-0.024166030281525405
232,03,v1,45,153,-0.008183846068181032
233,03,v1,45,207,-0.27555011834619325
234,03,v1,45,45,0.37135151731718186
235,03,v1,45,99,-0.07719543468878154
236,03,v1,99,153,0.0007547985779480055
237,03,v1,99,207,-0.1419849636910937
238,03,v1,99,45,-0.21533272154671493
239,03,v1,99,99,0.2879768946465231
240,03,sup_parietal,153,153,0.04481820353837085
241,03,sup_parietal,153,207,-0.004013851160842505
242,03,sup_parietal,153,45,-0.02648163273296588
243,03,sup_parietal,153,99,-0.033441424182472694
244,03,sup_parietal,207,153,0.03913473062839126
245,03,sup_parietal,207,207,0.024303969254721863
246,03,sup_parietal,207,45,0.12128633274337813
247,03,sup_parietal,207,99,-0.11129648394981008
248,03,sup_parietal,45,153,-0.08836873477375784
249,03,sup_parietal,45,207,-0.003192042490601888
250,03,sup_parietal,45,45,-0.06297067143928953
251,03,sup_parietal,45,99,0.12334628791626892
252,03,sup_parietal,99,153,-0.02614412151963476
253,03,sup_parietal,99,207,0.03550762434378146
254,03,sup_parietal,99,45,-0.012420861674011952
255,03,sup_parietal,99,99,-0.0049636467517196955
256,03,inf_parietal,153,153,-0.07402621447935402
257,03,inf_parietal,153,207,-0.031962699701048515
258,03,inf_parietal,153,45,0.044304220684849425
259,03,inf_parietal,153,99,0.06110918731653463
260,03,inf_parietal,207,153,0.03796971042012968
261,03,inf_parietal,207,207,0.013810492200733986
262,03,inf_parietal,207,45,-0.007906895813702193
263,03,inf_parietal,207,99,-0.0478977212192221
264,03,inf_parietal,45,153,-0.007685108651651021
265,03,inf_parietal,45,207,-0.009898758935270504
266,03,inf_parietal,45,45,0.01988890121781922
267,03,inf_parietal,45,99,0.018813655416632307
268,03,inf_parietal,99,153,0.03233848003785005
269,03,inf_parietal,99,207,0.006839815895605363
270,03,inf_parietal,99,45,-0.0008662453270286002
271,03,inf_parietal,99,99,-0.048231047723047385
272,03,v5,153,153,0.22940493240100707
273,03,v5,153,207,0.05142404863975416
274,03,v5,153,45,-0.11611123488964135
275,03,v5,153,99,-0.1529420270649728
