,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.015619258129323957
1,01,premotor,153,207,-0.01363877816553482
2,01,premotor,153,45,-0.01335633748025214
3,01,premotor,153,99,0.0072957692265462285
4,01,premotor,207,153,0.04207927595900002
5,01,premotor,207,207,-0.03837285560686378
6,01,premotor,207,45,0.0029531908374171596
7,01,premotor,207,99,-0.005309585768500649
8,01,premotor,45,153,-0.026826848728294588
9,01,premotor,45,207,0.05840550947032963
10,01,premotor,45,45,-0.009337242999498573
11,01,premotor,45,99,-0.019786577942159662
12,01,premotor,99,153,-0.011985349781076717
13,01,premotor,99,207,-0.017488969399245845
14,01,premotor,99,45,0.02355982434931317
15,01,premotor,99,99,0.008165283566767614
16,01,motor,153,153,-0.020849929441023134
17,01,motor,153,207,-0.02648927800191451
18,01,motor,153,45,0.09656657426071509
19,01,motor,153,99,-0.05430145685451547
20,01,motor,207,153,0.00884305574407093
21,01,motor,207,207,0.04241741212259893
22,01,motor,207,45,0.02393727501590687
23,01,motor,207,99,-0.06884317277329596
24,01,motor,45,153,-0.006825697114264279
25,01,motor,45,207,-0.02082023482177535
26,01,motor,45,45,-0.09120287397635093
27,01,motor,45,99,0.10757947926406261
28,01,motor,99,153,0.02211101484187913
29,01,motor,99,207,-0.002056409600088585
30,01,motor,99,45,-0.02320832120579603
31,01,motor,99,99,0.011267387514625095
32,01,v1,153,153,0.04216080271279845
33,01,v1,153,207,-0.05352268223324683
34,01,v1,153,45,-0.06554080171695638
35,01,v1,153,99,0.05983572422208873
36,01,v1,207,153,0.07090566451319213
37,01,v1,207,207,0.017028011623584798
38,01,v1,207,45,-0.039155998490805186
39,01,v1,207,99,-0.038015513300010316
40,01,v1,45,153,-0.03375741878458452
41,01,v1,45,207,0.028670456856819057
42,01,v1,45,45,0.03734012964312694
43,01,v1,45,99,-0.016317611654152506
44,01,v1,99,153,-0.07458113599475258
45,01,v1,99,207,0.003908810310988003
46,01,v1,99,45,0.07200638220751278
47,01,v1,99,99,-0.009746695247503863
48,01,sup_parietal,153,153,0.012764183964893656
49,01,sup_parietal,153,207,0.024952617524484678
50,01,sup_parietal,153,45,0.02884698219118227
51,01,sup_parietal,153,99,-0.06305734603760946
52,01,sup_parietal,207,153,0.06083633721572161
53,01,sup_parietal,207,207,0.0325283563218821
54,01,sup_parietal,207,45,-0.056761943255030964
55,01,sup_parietal,207,99,-0.04167469523616868
56,01,sup_parietal,45,153,-0.025026749785935554
57,01,sup_parietal,45,207,0.0070873374596344555
58,01,sup_parietal,45,45,-0.01641804140398815
59,01,sup_parietal,45,99,0.04804839592338729
60,01,sup_parietal,99,153,-0.04903660752726129
61,01,sup_parietal,99,207,-0.06389425713061803
62,01,sup_parietal,99,45,0.03409800655075665
63,01,sup_parietal,99,99,0.0771677385667924
64,01,inf_parietal,153,153,-0.05868774326432429
65,01,inf_parietal,153,207,0.06587070601023291
66,01,inf_parietal,153,45,0.028659953671537675
67,01,inf_parietal,153,99,-0.037634202842337566
68,01,inf_parietal,207,153,0.030660886883163388
69,01,inf_parietal,207,207,-0.011783627502130498
70,01,inf_parietal,207,45,-0.00699397595425956
71,01,inf_parietal,207,99,-0.027287193175706607
72,01,inf_parietal,45,153,-0.045437755218440325
73,01,inf_parietal,45,207,-0.002875205795863287
74,01,inf_parietal,45,45,0.05471085968007918
75,01,inf_parietal,45,99,0.023962619866022192
76,01,inf_parietal,99,153,0.07843881114178095
