,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.05561452818838167
1,01,premotor,153,207,0.06109389616440721
2,01,premotor,153,45,0.0705463758553334
3,01,premotor,153,99,0.06801917070336191
4,01,premotor,207,153,0.06653845215254223
5,01,premotor,207,207,0.0633360148770993
6,01,premotor,207,45,0.06771207754894673
7,01,premotor,207,99,0.059771276837818445
8,01,premotor,45,153,0.030902511671451294
9,01,premotor,45,207,0.06300381355812838
10,01,premotor,45,45,0.06830663009660994
11,01,premotor,45,99,0.07840415169293674
12,01,premotor,99,153,0.0377344860275073
13,01,premotor,99,207,0.042137090281798885
14,01,premotor,99,45,0.06434829960171815
15,01,premotor,99,99,0.06287171726311522
16,01,motor,153,153,0.09955174866315503
17,01,motor,153,207,0.006516589415697026
18,01,motor,153,45,0.0666876789475784
19,01,motor,153,99,0.04549203193098548
20,01,motor,207,153,0.06718353394236087
21,01,motor,207,207,0.06204154822215863
22,01,motor,207,45,0.0636403173410236
23,01,motor,207,99,0.04332413462041181
24,01,motor,45,153,0.05810971586375142
25,01,motor,45,207,0.04783296173989657
26,01,motor,45,45,0.08926845369304293
27,01,motor,45,99,0.08602648106050258
28,01,motor,99,153,0.021125099433747963
29,01,motor,99,207,-0.01865997467100579
30,01,motor,99,45,0.028415192334380786
31,01,motor,99,99,0.04589169557796968
32,01,v1,153,153,0.11555305235231442
33,01,v1,153,207,0.12771861328342582
34,01,v1,153,45,0.15411886626839646
35,01,v1,153,99,0.10011164099399356
36,01,v1,207,153,0.10445518766250522
37,01,v1,207,207,0.14049580956371832
38,01,v1,207,45,0.10348079197395416
39,01,v1,207,99,0.11905881562306851
40,01,v1,45,153,0.085585890879995
41,01,v1,45,207,0.10369309852162437
42,01,v1,45,45,0.11977986664995612
43,01,v1,45,99,0.08865497833333989
44,01,v1,99,153,0.10590198394883327
45,01,v1,99,207,0.11029874864624564
46,01,v1,99,45,0.12412935368680558
47,01,v1,99,99,0.11539352938974123
48,01,sup_parietal,153,153,0.1536830546833089
49,01,sup_parietal,153,207,0.10490858254386844
50,01,sup_parietal,153,45,0.12987341222050874
51,01,sup_parietal,153,99,0.11115321381844692
52,01,sup_parietal,207,153,0.12787428427125688
53,01,sup_parietal,207,207,0.24741435516634167
54,01,sup_parietal,207,45,0.14234876048055992
55,01,sup_parietal,207,99,0.23302678578352395
56,01,sup_parietal,45,153,0.18276165077492668
57,01,sup_parietal,45,207,0.07890290707493963
58,01,sup_parietal,45,45,0.11280781322041428
59,01,sup_parietal,45,99,0.07034874496234664
60,01,sup_parietal,99,153,0.09481322657070881
61,01,sup_parietal,99,207,0.05406870058975691
62,01,sup_parietal,99,45,0.05231584482581437
63,01,sup_parietal,99,99,0.021501053262724074
64,01,inf_parietal,153,153,0.037455025218535457
65,01,inf_parietal,153,207,0.13677697711608094
66,01,inf_parietal,153,45,0.03754924634681115
67,01,inf_parietal,153,99,0.07718113949331512
68,01,inf_parietal,207,153,0.02479108124949818
69,01,inf_parietal,207,207,0.12161173016822861
70,01,inf_parietal,207,45,0.049058270576210136
71,01,inf_parietal,207,99,0.06655518066389632
72,01,inf_parietal,45,153,0.06297506544038342
73,01,inf_parietal,45,207,0.11559993477210952
74,01,inf_parietal,45,45,0.08091600862137693
75,01,inf_parietal,45,99,0.13762541434895365
76,01,inf_parietal,99,153,0.056580891189237356
77,01,inf_parietal,99,207,0.0908433518723534
78,01,inf_parietal,99,45,0.09999914081749917
79,01,inf_parietal,99,99,0.13279980659572005
80,01,v5,153,153,0.11871658897505738
81,01,v5,153,207,0.05916020510819542
82,01,v5,153,45,0.03920833061770042
83,01,v5,153,99,0.12292326310895778
84,01,v5,207,153,0.16471958102522347
85,01,v5,207,207,-0.004681010605753488
86,01,v5,207,45,-0.038958559343826374
87,01,v5,207,99,0.026955431577628967
88,01,v5,45,153,0.31619574686173735
